code,country,cluster,model,anchor,cosine,std,baseline
HR,Croatia,Substantive - Democracy,Aligned BWE,English,0.60502803,0.01617317,0.6050281
HU,Hungary,Substantive - Democracy,Aligned BWE,English,0.67961514,0.010696404,0.67961514
IS,Iceland,Substantive - Democracy,Aligned BWE,English,0.3638903,0.03168225,0.3638903
IT,Italy,Substantive - Democracy,Aligned BWE,English,0.64937985,0.01942642,0.6493799
LV,Latvia,Substantive - Democracy,Aligned BWE,English,0.74696773,0.025831956,0.7469676
NL,Netherlands,Substantive - Democracy,Aligned BWE,English,0.716683,0.013280042,0.716683
NO,Norway,Substantive - Democracy,Aligned BWE,English,0.7255284,0.021747781,0.72552836
PL,Poland,Substantive - Democracy,Aligned BWE,English,0.5614278,0.009968907,0.5614278
PT,Portugal,Substantive - Democracy,Aligned BWE,English,0.6525711,0.017847825,0.6525711
RS,Serbia,Substantive - Democracy,Aligned BWE,English,0.5714041,0.013230513,0.5714041
SE,Sweden,Substantive - Democracy,Aligned BWE,English,0.6368166,0.011329255,0.6368166
SI,Slovenia,Substantive - Democracy,Aligned BWE,English,0.59845614,0.016193299,0.59845614
TR,Turkey,Substantive - Democracy,Aligned BWE,English,0.56833494,0.017147696,0.56833494
UA,Ukraine,Substantive - Democracy,Aligned BWE,English,0.70338863,0.029057633,0.70338863
AT,Austria,Substantive - Rights,Aligned BWE,English,0.7287989,0.017309694,0.7287989
BA,Bosnia and Herzegovina,Substantive - Rights,Aligned BWE,English,0.62479186,0.047231823,0.6247918
BE,Belgium,Substantive - Rights,Aligned BWE,English,0.7034743,0.010721259,0.7034743
BG,Bulgaria,Substantive - Rights,Aligned BWE,English,0.6632022,0.019930147,0.6632022
CZ,Czech Republic,Substantive - Rights,Aligned BWE,English,0.6839778,0.024950653,0.6839778
DK,Denmark,Substantive - Rights,Aligned BWE,English,0.68750787,0.017089693,0.6875078
EE,Estonia,Substantive - Rights,Aligned BWE,English,0.67196846,0.015637374,0.67196846
ES,Spain,Substantive - Rights,Aligned BWE,English,0.6256149,0.02548009,0.6256149
FI,Finland,Substantive - Rights,Aligned BWE,English,0.6927601,0.01648616,0.6927601
FR,France,Substantive - Rights,Aligned BWE,English,0.66903454,0.019976957,0.66903454
GB,Great Britain,Substantive - Rights,Aligned BWE,English,0.69902396,0.009518121,0.69902396
GR,Greece,Substantive - Rights,Aligned BWE,English,0.6717931,0.020838054,0.6717932
HR,Croatia,Substantive - Rights,Aligned BWE,English,0.5928131,0.019479373,0.5928131
HU,Hungary,Substantive - Rights,Aligned BWE,English,0.54301584,0.018877883,0.5430159
IS,Iceland,Substantive - Rights,Aligned BWE,English,0.68760866,0.06258346,0.68760866
IT,Italy,Substantive - Rights,Aligned BWE,English,0.76083934,0.037861515,0.7608393
LV,Latvia,Substantive - Rights,Aligned BWE,English,0.61714005,0.029762538,0.61714005
NL,Netherlands,Substantive - Rights,Aligned BWE,English,0.6188918,0.008521931,0.6188918
NO,Norway,Substantive - Rights,Aligned BWE,English,0.71393734,0.019747315,0.71393734
PL,Poland,Substantive - Rights,Aligned BWE,English,0.58329225,0.01355043,0.58329225
PT,Portugal,Substantive - Rights,Aligned BWE,English,0.66285104,0.0266793,0.66285104
RS,Serbia,Substantive - Rights,Aligned BWE,English,0.6045094,0.013814567,0.6045094
SE,Sweden,Substantive - Rights,Aligned BWE,English,0.71266305,0.011736079,0.7126631
SI,Slovenia,Substantive - Rights,Aligned BWE,English,0.5748777,0.013737687,0.5748777
TR,Turkey,Substantive - Rights,Aligned BWE,English,0.6857744,0.01382602,0.6857744
UA,Ukraine,Substantive - Rights,Aligned BWE,English,0.6939145,0.026698343,0.6939145
DE,Germany,Procedural - Judiciary,Monolingual,German,0.7235286,0.023775853,0.7235286
ES,Spain,Procedural - Judiciary,Monolingual,Spanish,0.6946938,0.028319733,0.6570031
FR,France,Procedural - Judiciary,Monolingual,French,0.45039612,0.020307055,0.49639156
GB,Great Britain,Procedural - Judiciary,Monolingual,English,0.68823975,0.012333602,0.6876312
HU,Hungary,Procedural - Judiciary,Monolingual,Hungarian,0.66160357,0.029845353,0.64248407
IT,Italy,Procedural - Judiciary,Monolingual,Italian,0.5489501,0.033467438,0.61394036
NL,Netherlands,Procedural - Judiciary,Monolingual,Dutch,0.547364,0.011408381,0.5493396
PL,Poland,Procedural - Judiciary,Monolingual,Polish,0.76278687,0.032161538,0.5041702
DE,Germany,Procedural - Rules,Monolingual,German,0.6175592,0.025122894,0.6175592
ES,Spain,Procedural - Rules,Monolingual,Spanish,0.5090971,0.026594436,0.5328835
FR,France,Procedural - Rules,Monolingual,French,0.5039116,0.024988282,0.52101094
GB,Great Britain,Procedural - Rules,Monolingual,English,0.45973247,0.00852058,0.45827922
HU,Hungary,Procedural - Rules,Monolingual,Hungarian,0.61645436,0.04013199,0.5383137
IT,Italy,Procedural - Rules,Monolingual,Italian,0.55940384,0.037382882,0.61616474
NL,Netherlands,Procedural - Rules,Monolingual,Dutch,0.5154871,0.019676203,0.4600886
PL,Poland,Procedural - Rules,Monolingual,Polish,0.5901735,0.035451043,0.45535985
DE,Germany,Substantive - Democracy,Monolingual,German,0.7278786,0.028981145,0.7278786
ES,Spain,Substantive - Democracy,Monolingual,Spanish,0.7218028,0.021807939,0.68304706
FR,France,Substantive - Democracy,Monolingual,French,0.62470216,0.012339285,0.5876699
GB,Great Britain,Substantive - Democracy,Monolingual,English,0.6469344,0.012182,0.64292604
HU,Hungary,Substantive - Democracy,Monolingual,Hungarian,0.7755067,0.011670895,0.67961514
IT,Italy,Substantive - Democracy,Monolingual,Italian,0.60846114,0.020816594,0.6493799
NL,Netherlands,Substantive - Democracy,Monolingual,Dutch,0.65352285,0.011485482,0.716683
PL,Poland,Substantive - Democracy,Monolingual,Polish,0.7101829,0.03418426,0.5614278
DE,Germany,Substantive - Rights,Monolingual,German,0.8021026,0.03007893,0.8021026
ES,Spain,Substantive - Rights,Monolingual,Spanish,0.63196176,0.029358516,0.6256149
FR,France,Substantive - Rights,Monolingual,French,0.64614177,0.020423552,0.66903454
GB,Great Britain,Substantive - Rights,Monolingual,English,0.7011909,0.00880217,0.69902396
HU,Hungary,Substantive - Rights,Monolingual,Hungarian,0.6272058,0.03341076,0.5430159
IT,Italy,Substantive - Rights,Monolingual,Italian,0.6794175,0.034053996,0.7608393
NL,Netherlands,Substantive - Rights,Monolingual,Dutch,0.6535999,0.010770122,0.6188918
PL,Poland,Substantive - Rights,Monolingual,Polish,0.7337052,0.031836916,0.58329225
