Country Code;WJP Rule of Law Index: Overall Score;Factor 1: Constraints on Government Powers;Factor 2: Absence of Corruption;Factor 3: Open Government ;Factor 4: Fundamental Rights;Factor 5: Order and Security;Factor 6: Regulatory Enforcement;Factor 7: Civil Justice;Factor 8: Criminal Justice
LUX;0,83;0,82;0,85;0,82;0,85;0,95;0,87;0,78;0,73
MDG;0,43;0,43;0,27;0,45;0,46;0,71;0,38;0,43;0,32
MWI;0,52;0,57;0,42;0,46;0,58;0,68;0,46;0,56;0,44
MYS;0,57;0,57;0,57;0,42;0,49;0,78;0,55;0,62;0,56
MLI;0,40;0,41;0,31;0,45;0,50;0,37;0,47;0,41;0,28
MLT;0,68;0,64;0,68;0,64;0,74;0,91;0,59;0,60;0,63
MRT;0,36;0,33;0,29;0,28;0,38;0,65;0,28;0,40;0,27
MUS;0,61;0,58;0,58;0,53;0,64;0,75;0,62;0,63;0,54
MEX;0,42;0,44;0,26;0,58;0,48;0,50;0,44;0,37;0,26
MDA;0,53;0,51;0,38;0,57;0,59;0,81;0,46;0,50;0,41
MNG;0,53;0,53;0,42;0,49;0,56;0,76;0,48;0,54;0,48
MNE;0,56;0,52;0,48;0,53;0,67;0,82;0,48;0,54;0,47
MAR;0,48;0,51;0,42;0,43;0,43;0,69;0,50;0,52;0,37
MOZ;0,38;0,41;0,35;0,36;0,39;0,43;0,41;0,42;0,31
MMR;0,35;0,29;0,42;0,30;0,20;0,58;0,42;0,32;0,25
NAM;0,61;0,66;0,52;0,58;0,66;0,75;0,58;0,62;0,55
NPL;0,52;0,59;0,40;0,52;0,52;0,73;0,49;0,44;0,45
NLD;0,83;0,85;0,87;0,83;0,84;0,85;0,85;0,84;0,74
NZL;0,83;0,85;0,87;0,82;0,82;0,88;0,84;0,78;0,73
NIC;0,35;0,23;0,30;0,32;0,30;0,70;0,36;0,32;0,25
NER;0,44;0,39;0,39;0,37;0,47;0,62;0,47;0,46;0,35
NGA;0,41;0,50;0,32;0,42;0,42;0,37;0,41;0,46;0,39
MKD;0,53;0,46;0,45;0,50;0,60;0,80;0,46;0,52;0,44
NOR;0,89;0,92;0,94;0,88;0,91;0,93;0,88;0,86;0,83
PAK;0,38;0,47;0,31;0,41;0,38;0,33;0,38;0,38;0,36
PAN;0,51;0,53;0,40;0,56;0,62;0,70;0,49;0,46;0,34
PRY;0,46;0,50;0,29;0,56;0,51;0,70;0,46;0,42;0,26
PER;0,49;0,59;0,33;0,54;0,60;0,62;0,48;0,41;0,33
PHL;0,46;0,47;0,43;0,47;0,40;0,67;0,47;0,45;0,31
POL;0,64;0,53;0,72;0,58;0,61;0,86;0,63;0,61;0,58
PRT;0,68;0,76;0,71;0,64;0,76;0,78;0,60;0,65;0,56
ROU;0,63;0,61;0,56;0,63;0,67;0,83;0,59;0,63;0,52
RUS;0,44;0,32;0,41;0,45;0,38;0,66;0,46;0,51;0,29
RWA;0,63;0,60;0,68;0,57;0,52;0,85;0,60;0,65;0,56
SEN;0,55;0,55;0,55;0,44;0,59;0,70;0,56;0,56;0,47
SRB;0,48;0,35;0,42;0,45;0,55;0,76;0,46;0,47;0,39
SLE;0,44;0,48;0,36;0,39;0,48;0,67;0,37;0,43;0,35
SGP;0,78;0,67;0,91;0,61;0,67;0,93;0,86;0,79;0,77
SVK;0,66;0,67;0,53;0,69;0,73;0,90;0,62;0,55;0,58
SVN;0,69;0,65;0,67;0,66;0,75;0,89;0,65;0,67;0,56
ZAF;0,57;0,62;0,47;0,62;0,63;0,60;0,52;0,59;0,50
ESP;0,72;0,72;0,73;0,70;0,79;0,83;0,69;0,65;0,66
LKA;0,50;0,50;0,47;0,51;0,50;0,68;0,48;0,43;0,41
KNA;0,63;0,61;0,65;0,45;0,69;0,78;0,62;0,68;0,59
LCA;0,62;0,60;0,64;0,50;0,66;0,73;0,61;0,65;0,54
VCT;0,63;0,58;0,68;0,51;0,70;0,76;0,53;0,64;0,60
SDN;0,36;0,29;0,35;0,35;0,33;0,56;0,33;0,36;0,34
SUR;0,49;0,48;0,43;0,38;0,51;0,65;0,46;0,49;0,53
SWE;0,85;0,86;0,90;0,84;0,87;0,92;0,83;0,82;0,79
TZA;0,47;0,50;0,41;0,39;0,44;0,70;0,44;0,47;0,37
THA;0,49;0,45;0,45;0,48;0,46;0,74;0,44;0,49;0,41
TGO;0,45;0,38;0,43;0,32;0,46;0,70;0,51;0,48;0,36
TTO;0,52;0,53;0,49;0,53;0,59;0,65;0,49;0,56;0,31
TUN;0,52;0,54;0,47;0,48;0,51;0,72;0,50;0,49;0,41
TUR;0,41;0,28;0,44;0,40;0,30;0,72;0,42;0,41;0,34
UGA;0,39;0,39;0,26;0,39;0,35;0,57;0,43;0,42;0,32
UKR;0,49;0,47;0,33;0,55;0,59;0,61;0,43;0,53;0,36
ARE;0,64;0,57;0,78;0,34;0,45;0,91;0,70;0,66;0,68
GBR;0,78;0,81;0,83;0,79;0,80;0,84;0,79;0,71;0,70
USA;0,70;0,69;0,73;0,76;0,68;0,83;0,72;0,62;0,60
URY;0,72;0,76;0,73;0,73;0,80;0,71;0,71;0,72;0,58
UZB;0,50;0,38;0,47;0,37;0,45;0,90;0,45;0,52;0,44
VEN;0,26;0,18;0,28;0,28;0,30;0,51;0,19;0,26;0,12
VNM;0,49;0,45;0,42;0,45;0,45;0,78;0,44;0,45;0,46
ZMB;0,45;0,46;0,38;0,39;0,40;0,69;0,43;0,46;0,40
ZWE;0,40;0,33;0,32;0,33;0,34;0,67;0,35;0,46;0,36
